Student_ID,Gender,Age,Study_Hours,Attendance_Percentage,Assignment_Score,Midterm_Score,Final_Exam_Score,Extracurricular,Performance_Score,Grade
STU0001,Male,16,6.8,77.1,65,62.4,85.3,No,74.4,B
STU0002,Female,16,3.2,77.7,80.7,103.5,79.7,Yes,87,A
STU0003,Male,18,5.3,85.9,68.4,85.7,93.3,No,86,A
STU0004,Male,21,5.9,77.8,82.6,67.5,84.1,No,78.8,B
STU0005,Male,17,2.8,84.9,77.4,37,71.9,No,62.5,C
STU0006,Female,20,4.4,102.8,,104.1,55.6,No,70.4,B
STU0007,Male,19,-1.3,90.7,93.6,52.5,70.9,Yes,69.9,B
STU0008,Male,17,2.7,78.7,96.6,49,61.2,Yes,64.6,C
STU0009,Male,21,4,94,67.6,86.3,65.3,No,72.1,B
STU0010,Female,22,2.3,77.9,70.3,106.2,82.8,Yes,87.3,A
STU0011,Male,19,,61.6,78.4,91.4,99,Yes,92.6,A
STU0012,Male,22,1.9,71.9,79,79.9,79.9,No,79.7,B
STU0013,Male,18,3.7,63.3,82.9,80.3,56.1,Yes,68.7,B
STU0014,Male,18,4.7,78.5,99.1,83.9,80.7,Yes,85.3,A
STU0015,Female,16,7.1,82.2,72.9,82.6,91.9,Yes,85.3,A
STU0016,Male,22,1.9,98.8,65.4,75.9,64.9,No,68.3,B
STU0017,Female,21,6.6,85.3,58.4,73.5,72,Yes,69.7,B
STU0018,Female,20,4.5,79.8,66.2,71.1,74.2,No,71.7,B
STU0019,Female,19,2.7,90.3,74.6,61.4,62.2,Yes,64.4,C
STU0020,Male,17,5.3,,96.5,68.1,83.7,Yes,81.6,A
STU0021,Female,21,4.9,84.4,68.8,48.3,72.2,Yes,64.4,C
STU0022,Male,21,3.4,89.7,77.7,70.6,80.3,No,76.9,B
STU0023,Female,18,4.6,67.2,74.8,58.2,60.7,No,62.8,C
STU0024,Female,22,3.8,93.4,89.3,56.5,67.4,Yes,68.5,B
STU0025,Female,16,4.7,85.4,105.3,74.5,84.8,No,85.8,A
STU0026,Female,16,5.7,5,68.6,91.5,68.4,Yes,75.4,B
STU0027,Female,19,7.4,88.3,69.1,84.9,99.9,No,89.2,A
STU0028,Female,18,2.3,104.7,87.5,50,68,No,66.5,B
STU0029,Female,21,8.3,83.8,83.2,58.1,77.4,Yes,72.8,B
STU0030,Female,20,1,84.5,97.2,85.2,88,Yes,89,A
STU0031,Male,18,4.2,77.4,82,58.2,52.7,Yes,60.2,C
STU0032,Male,19,5.6,73.5,70.7,68.9,47.6,Yes,58.6,C
STU0033,Female,19,5,90.3,82.1,79.7,51.1,No,65.9,B
STU0034,Female,18,3.4,73.4,,58.4,92.9,No,81.6,A
STU0035,Female,19,4.1,82.7,84.8,73.5,65.7,No,71.9,B
STU0036,Male,18,3.6,77.2,Absent,53.3,112.4,Yes,88.4,A
STU0037,Female,17,3.4,86.8,87.8,63.6,65.5,Yes,69.4,B
STU0038,Male,18,6,85.3,89,76.5,76.8,No,79.2,B
STU0039,Male,22,5.1,92.4,91.6,49.7,97.1,Yes,81.8,A
STU0040,Male,18,3.3,76.9,82.8,78.2,104.1,No,92.1,A
STU0041,Male,19,6.1,79.3,73,71.7,104.9,No,88.6,A
STU0042,Male,22,5.1,72.2,76.8,79.7,92.1,No,85.3,A
STU0043,Female,19,6,77.6,89.5,75.1,89.4,No,85.1,A
STU0044,Female,16,5.6,85.8,65.2,91.1,82.9,No,81.8,A
STU0045,Female,16,3,89.6,79.4,73.8,85.7,Yes,80.9,A
STU0046,Female,22,3.5,72.8,70.3,66,65.7,Yes,66.7,B
STU0047,Female,17,5.8,90.7,75.3,73.7,61.7,Yes,68,B
STU0048,Male,16,5.6,95.6,90.3,79.6,,No,78.9,B
STU0049,Female,18,4.5,86.1,77.3,72.7,71.4,No,73,B
STU0050,Female,19,4.7,100.8,75.6,72.6,67.2,No,70.5,B
STU0051,Male,16,6.8,74.3,58.7,62.2,84.4,No,72.6,B
STU0052,Female,16,3.4,69.6,84,62.7,88.3,Yes,79.8,B
STU0053,Male,17,5.5,64.2,82.7,52.4,75.3,Yes,69.9,B
STU0054,Female,22,4.1,97,101,96.5,96.2,No,97.2,A
STU0055,Male,22,,5,71.3,54.6,56.9,No,59.1,C
STU0056,Female,21,6.5,81.4,77.6,62.3,71.1,No,69.8,B
STU0057,Female,17,6,84.8,78,61.9,63.2,Yes,65.8,B
STU0058,Male,18,6,70.7,,84.5,46,Yes,67.1,B
STU0059,Male,22,6.8,106.5,73.9,67.9,72.8,Yes,71.6,B
STU0060,Male,19,,83.3,78.3,89.5,72.2,No,78.6,B
STU0061,Male,17,5.7,83.1,82.3,62.6,96.7,No,83.6,A
STU0062,Male,16,3.9,89.3,77.2,75.9,83.5,Yes,80,B
STU0063,Male,19,5.1,86.8,69.6,60.3,58.6,No,61.3,C
STU0064,Male,19,4.3,84.2,77.3,102,101.8,Yes,97,A
STU0065,Male,16,4.7,74.1,87.9,55.4,92.3,No,80.4,A
STU0066,Female,17,5.6,86.7,62.7,76.3,82.7,Yes,76.8,B
STU0067,Female,16,3,100.8,76.6,80.9,70.6,No,74.9,B
STU0068,Male,21,8.3,95.5,66.6,77.8,59.6,Yes,66.5,B
STU0069,Female,19,2.7,97.9,89.3,69.4,68.4,Yes,72.9,B
STU0070,Female,20,2.3,76.9,56.7,70.2,90.3,Yes,77.6,B
STU0071,Female,20,6.6,72.1,68.3,72.6,102.3,Yes,86.6,A
STU0072,Female,18,5.9,80.7,79.5,69.9,97.1,Yes,85.4,A
STU0073,Male,22,5.6,82.6,93.8,85.5,66.7,Yes,77.8,B
STU0074,Female,16,18,92.9,74.2,102.9,57.2,No,74.3,B
STU0075,Male,16,4.5,65.1,Absent,64.2,76.1,No,71,B
STU0076,Female,18,2.9,97.3,97.6,52.8,47.5,No,59.1,C
